crop ID,soil_type,Seedling Stage,MOI,temp,humidity,result
Wheat,Alluvial Soil,Vegetative Growth / Root or Tuber Development,4.0,38.0,41.0,1
Cotton,Sandy Soil,Flowering,35.0,16.0,83.6,1
Brinjal,Silty Soil,Vegetative Growth / Root or Tuber Development,30.91,14.05,92.06,1
Cabbage,Clay Soil,Flowering,34.0,28.0,62.8,1
Maize,Black Soil,Flowering,19.0,16.0,91.9,2
Wheat,Sandy Soil,Flowering,9.0,16.0,88.0,0
Cotton,Black Soil,Seedling Stage,38.0,16.0,89.2,1
Groundnut,Silty Soil,Pollination,64.05,38.42,32.98,2
Wheat,Loamy Soil,Flowering,80.95,38.89,35.99,0
Maize,Black Soil,Vegetative Growth / Root or Tuber Development,81.56,41.86,30.12,1
Cotton,Peaty Soil,Flowering,49.05,34.92,41.11,2
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,39.0,22.0,82.0,0
Groundnut,Clay Soil,Pollination,4.0,28.0,77.3,2
Wheat,Black Soil,Maturation,65.0,29.0,68.0,1
Potato,Laterite Soil,Vegetative Growth / Root or Tuber Development,5.0,24.14,76.91,0
Wheat,Alluvial Soil,Fruit/Grain/Bulb Formation,1.0,18.0,86.0,0
Cotton,Loamy Soil,Flowering,19.66,36.75,63.89,2
Wheat,Red Soil,Fruit/Grain/Bulb Formation,3.0,16.0,88.0,0
Cabbage,Sandy Soil,Seedling Stage,99.0,37.0,39.8,1
Maize,Clay Soil,Harvest,26.0,39.0,37.5,2
Wheat,Black Soil,Maturation,36.88,13.58,84.97,0
Wheat,Peaty Soil,Fruit/Grain/Bulb Formation,71.42,21.72,91.57,0
Carrot,Peaty Soil,Germination,36.61,35.42,51.46,1
Wheat,Red Soil,Maturation,86.0,30.0,65.0,0
Carrot,Black Soil,Seedling Stage,16.21,17.02,84.07,0
Cotton,Red Soil,Germination,80.0,44.0,36.8,2
Rice,Loam Soil,Vegetative Growth / Root or Tuber Development,58.0,22.0,86.4,0
Groundnut,Peaty Soil,Germination,51.94,31.85,62.2,0
Carrot,Loamy Soil,Seedling Stage,6.45,21.88,84.28,0
Tomato,Clay Soil,Pollination,9.0,13.0,91.0,0
Carrot,Loam Soil,Vegetative Growth / Root or Tuber Development,14.0,23.0,81.0,0
Onion,Peaty Soil,Flowering,74.24,33.39,48.46,1
Wheat,Clay Soil,Germination,28.0,40.0,50.0,1
Maize,Sandy Soil,Maturation,74.0,31.0,65.4,0
Brinjal,Silty Soil,Germination,100.0,33.8,63.45,1
Chilli,Laterite Soil,Seedling Stage,45.01,18.32,76.87,0
Carrot,Loam Soil,Germination,46.0,15.0,89.0,0
Cabbage,Black Soil,Pollination,70.13,33.4,36.0,0
Potato,Loam Soil,Vegetative Growth / Root or Tuber Development,18.0,38.0,41.0,1
Wheat,Clay Soil,Harvest,29.0,37.0,47.6,1
Wheat,Red Soil,Harvest,81.0,37.0,50.0,0
Potato,Laterite Soil,Seedling Stage,41.24,26.88,74.44,1
Maize,Alluvial Soil,Germination,48.0,45.0,32.8,2
Potato,Sandy Soil,Seedling Stage,42.0,34.0,53.0,1
Maize,Clay Soil,Seedling Stage,3.0,29.0,73.3,1
Rice,Clay Soil,Pollination,10.0,19.0,95.0,1
Cotton,Sandy Soil,Flowering,53.0,26.0,69.9,1
Tomato,Clay Soil,Seedling Stage,69.0,31.0,60.0,1
Wheat,Sandy Soil,Maturation,16.0,15.0,89.0,0
Cotton,Black Soil,Flowering,57.15,32.43,70.33,1
Chilli,Chalky Soil,Germination,47.0,27.0,74.6,1
Maize,Peaty Soil,Pollination,11.26,15.36,83.76,1
Groundnut,Black Soil,Pollination,24.09,25.98,76.1,2
Wheat,Loamy Soil,Seedling Stage,11.6,31.0,58.16,1
Wheat,Peaty Soil,Fruit/Grain/Bulb Formation,43.14,20.25,85.48,0
Brinjal,Clay Soil,Pollination,70.0,32.0,59.1,0
Maize,Clay Soil,Vegetative Growth / Root or Tuber Development,22.0,22.0,79.4,1
Cotton,Red Soil,Germination,16.0,19.0,79.0,2
Cabbage,Sandy Soil,Flowering,69.0,18.0,79.5,0
Wheat,Red Soil,Vegetative Growth / Root or Tuber Development,32.0,17.0,87.0,0
Onion,Clay Soil,Pollination,66.0,29.0,52.8,0
Brinjal,Clay Soil,Pollination,33.0,21.0,79.3,1
Chilli,Red Soil,Vegetative Growth / Root or Tuber Development,43.0,24.0,80.0,0
Onion,Silty Soil,Germination,99.11,26.85,68.03,0
Potato,Black Soil,Flowering,65.79,18.46,86.29,0
Cotton,Peaty Soil,Flowering,17.16,39.2,31.49,1
Brinjal,Loamy Soil,Vegetative Growth / Root or Tuber Development,52.6,18.95,83.34,0
Potato,Clay Soil,Seedling Stage,67.0,25.0,80.0,2
Brinjal,Loam Soil,Flowering,17.0,18.0,81.8,1
Carrot,Laterite Soil,Pollination,9.88,14.75,85.28,0
Brinjal,Clay Soil,Vegetative Growth / Root or Tuber Development,34.0,39.0,31.1,2
Cotton,Chalky Soil,Flowering,15.0,29.0,65.1,2
Maize,Sandy Soil,Flowering,99.0,42.0,20.7,2
Cotton,Sandy Soil,Vegetative Growth / Root or Tuber Development,63.0,25.0,78.9,0
Wheat,Black Soil,Harvest,9.0,29.0,68.0,1
Chilli,Black Soil,Flowering,22.0,38.0,41.0,1
Cabbage,Loamy Soil,Seedling Stage,63.39,13.94,83.02,0
Tomato,Peaty Soil,Seedling Stage,30.18,39.34,30.54,1
Maize,Red Soil,Maturation,15.0,23.0,86.8,1
Chilli,Sandy Soil,Seedling Stage,23.0,21.0,83.0,0
Cabbage,Peaty Soil,Flowering,42.76,27.08,54.16,0
Chilli,Loamy Soil,Seedling Stage,93.27,42.17,36.9,0
Onion,Loam Soil,Vegetative Growth / Root or Tuber Development,21.0,23.0,71.9,1
Wheat,Laterite Soil,Harvest,20.67,26.6,73.3,0
Cabbage,Loam Soil,Seedling Stage,60.0,43.0,20.0,1
Onion,Red Soil,Germination,46.0,21.0,90.8,1
Maize,Laterite Soil,Flowering,48.45,20.92,82.88,0
Wheat,Black Soil,Flowering,100.0,32.53,56.99,0
Cotton,Red Soil,Germination,3.0,20.0,78.7,2
Groundnut,Clay Soil,Seedling Stage,28.0,22.0,78.3,1
Chilli,Sandy Soil,Vegetative Growth / Root or Tuber Development,26.0,16.0,88.0,0
Tomato,Loamy Soil,Seedling Stage,84.17,38.86,31.88,1
Maize,Red Soil,Fruit/Grain/Bulb Formation,76.0,32.0,64.2,0
Tomato,Clay Soil,Flowering,6.0,14.0,90.0,0
Groundnut,Clay Soil,Germination,69.0,39.0,29.1,1
Wheat,Black Soil,Maturation,1.0,24.0,80.0,0
Brinjal,Loam Soil,Seedling Stage,27.0,35.0,48.1,2
Wheat,Clay Soil,Harvest,41.0,27.0,74.0,1
Wheat,Laterite Soil,Flowering,53.13,13.78,91.98,1
Potato,Loamy Soil,Seedling Stage,52.94,36.7,51.51,0
Onion,Loam Soil,Germination,71.0,15.0,94.3,0
Maize,Black Soil,Harvest,12.01,18.85,81.9,1
Cotton,Loamy Soil,Germination,73.34,29.71,76.6,1
Onion,Red Soil,Vegetative Growth / Root or Tuber Development,58.0,24.0,85.8,0
Rice,Loam Soil,Pollination,48.0,34.0,61.7,1
Cotton,Sandy Soil,Seedling Stage,12.0,20.0,86.8,2
Groundnut,Clay Soil,Germination,44.0,18.0,80.9,1
Cabbage,Black Soil,Pollination,16.07,40.32,26.31,2
Rice,Loamy Soil,Vegetative Growth / Root or Tuber Development,35.22,32.65,56.49,0
Cabbage,Loamy Soil,Vegetative Growth / Root or Tuber Development,32.06,13.46,97.16,0
Maize,Loamy Soil,Fruit/Grain/Bulb Formation,83.07,24.08,76.99,0
Wheat,Peaty Soil,Germination,82.44,32.81,61.48,0
Potato,Loamy Soil,Vegetative Growth / Root or Tuber Development,49.13,20.69,83.77,0
Rice,Loam Soil,Flowering,59.0,26.0,90.3,0
Brinjal,Peaty Soil,Flowering,10.72,21.25,93.42,2
Rice,Clay Soil,Seedling Stage,29.0,44.0,25.9,2
Cabbage,Sandy Soil,Germination,94.0,27.0,69.1,0
Rice,Clay Soil,Germination,54.0,16.0,89.5,0
Groundnut,Loam Soil,Flowering,45.0,30.0,63.3,1
Wheat,Silty Soil,Pollination,26.75,14.1,94.28,0
Wheat,Clay Soil,Vegetative Growth / Root or Tuber Development,26.0,40.0,35.0,1
Tomato,Loam Soil,Vegetative Growth / Root or Tuber Development,44.0,28.0,71.0,1
Tomato,Red Soil,Pollination,49.0,29.0,64.0,1
Groundnut,Clay Soil,Vegetative Growth / Root or Tuber Development,99.0,41.0,26.3,1
Wheat,Sandy Soil,Flowering,32.0,17.0,87.0,0
Chilli,Peaty Soil,Seedling Stage,76.81,22.35,79.31,0
Potato,Black Soil,Seedling Stage,60.67,27.01,77.5,1
Chilli,Black Soil,Vegetative Growth / Root or Tuber Development,23.7,42.86,33.06,1
Onion,Black Soil,Pollination,65.71,34.96,33.4,1
Potato,Loam Soil,Vegetative Growth / Root or Tuber Development,82.0,36.0,47.0,0
Cotton,Sandy Soil,Germination,51.0,18.0,84.1,1
Rice,Sandy Soil,Pollination,85.0,39.0,41.1,1
Brinjal,Loam Soil,Seedling Stage,42.0,24.0,77.2,1
Tomato,Laterite Soil,Flowering,5.0,33.99,63.29,1
Maize,Black Soil,Pollination,55.02,17.81,91.06,0
Carrot,Peaty Soil,Germination,13.67,43.1,24.57,0
Wheat,Peaty Soil,Vegetative Growth / Root or Tuber Development,55.83,22.24,76.56,0
Chilli,Loamy Soil,Seedling Stage,48.62,37.46,44.29,1
Carrot,Clay Soil,Germination,77.0,37.0,40.0,1
Tomato,Silty Soil,Pollination,33.22,18.16,85.86,0
Maize,Clay Soil,Seedling Stage,1.0,25.0,79.2,1
Wheat,Black Soil,Vegetative Growth / Root or Tuber Development,55.67,30.64,67.6,1
Wheat,Red Soil,Maturation,17.0,27.0,74.0,1
Onion,Clay Soil,Flowering,39.0,18.0,88.5,0
Cabbage,Sandy Soil,Pollination,49.0,42.0,20.0,2
Wheat,Black Soil,Flowering,69.55,33.87,53.06,2
Chilli,Black Soil,Seedling Stage,48.65,36.13,50.07,0
Onion,Red Soil,Vegetative Growth / Root or Tuber Development,8.0,45.0,20.0,2
Rice,Sandy Soil,Vegetative Growth / Root or Tuber Development,74.0,45.0,47.9,0
Tomato,Peaty Soil,Pollination,34.84,28.22,69.85,1
Carrot,Loam Soil,Flowering,41.0,43.0,24.0,1
Wheat,Laterite Soil,Maturation,22.18,17.14,83.82,0
Cabbage,Loam Soil,Seedling Stage,5.0,22.0,84.3,1
Cotton,Chalky Soil,Flowering,38.0,43.0,52.6,2
Tomato,Red Soil,Germination,45.0,29.0,68.0,1
Maize,Peaty Soil,Fruit/Grain/Bulb Formation,26.94,19.2,72.67,1
Rice,Silty Soil,Flowering,74.57,31.58,71.56,0
Onion,Silty Soil,Pollination,39.09,27.77,78.6,2
Potato,Loamy Soil,Seedling Stage,83.94,39.65,35.6,0
Wheat,Black Soil,Seedling Stage,77.31,39.89,36.05,0
Tomato,Loam Soil,Germination,4.0,21.0,83.0,0
Wheat,Red Soil,Flowering,58.0,15.0,89.0,0
Wheat,Loamy Soil,Harvest,94.6,38.59,43.95,0
Brinjal,Clay Soil,Flowering,33.0,40.0,44.4,2
Wheat,Loamy Soil,Vegetative Growth / Root or Tuber Development,85.71,27.36,73.74,0
Carrot,Laterite Soil,Flowering,45.13,34.62,47.0,2
Groundnut,Silty Soil,Pollination,11.24,39.39,63.26,1
Rice,Loam Soil,Seedling Stage,94.0,45.0,20.0,0
Cabbage,Sandy Soil,Vegetative Growth / Root or Tuber Development,48.0,15.0,95.0,0
Groundnut,Laterite Soil,Seedling Stage,5.0,28.15,76.03,2
Cotton,Red Soil,Germination,18.0,45.0,21.3,2
Potato,Clay Soil,Flowering,90.0,28.0,71.0,0
Chilli,Chalky Soil,Seedling Stage,52.0,15.0,89.0,0
Tomato,Loamy Soil,Flowering,11.18,19.74,83.66,0
Brinjal,Black Soil,Pollination,76.79,36.25,50.35,0
Wheat,Sandy Soil,Germination,4.0,44.0,23.0,1
Cabbage,Loam Soil,Vegetative Growth / Root or Tuber Development,10.0,20.0,88.6,1
Rice,Laterite Soil,Pollination,50.22,19.25,92.67,0
Cabbage,Sandy Soil,Seedling Stage,48.0,39.0,27.7,2
Wheat,Black Soil,Harvest,34.61,28.17,82.42,1
Tomato,Loamy Soil,Flowering,48.0,20.4,76.3,0
Cabbage,Clay Soil,Pollination,16.0,38.0,49.5,2
Tomato,Laterite Soil,Germination,31.22,34.5,46.27,1
Brinjal,Loam Soil,Pollination,22.0,39.0,36.5,2
Chilli,Black Soil,Flowering,24.55,28.17,60.56,1
Wheat,Sandy Soil,Flowering,1.0,33.0,56.0,1
Cotton,Sandy Soil,Seedling Stage,5.0,25.0,84.7,2
Brinjal,Red Soil,Flowering,8.0,16.0,90.9,2
Tomato,Red Soil,Germination,98.0,38.0,37.0,0
Wheat,Alluvial Soil,Germination,27.0,22.0,82.0,0
Cabbage,Loam Soil,Germination,49.0,16.0,87.7,0
Cabbage,Loam Soil,Seedling Stage,33.0,34.0,55.2,2
Wheat,Laterite Soil,Harvest,66.0,33.39,56.95,2
Potato,Loam Soil,Pollination,68.0,46.0,17.0,0
Groundnut,Loam Soil,Vegetative Growth / Root or Tuber Development,7.0,22.0,88.1,1
Rice,Laterite Soil,Germination,16.38,27.57,74.86,0
Potato,Black Soil,Seedling Stage,19.78,33.48,44.88,1
Tomato,Red Soil,Seedling Stage,80.0,44.0,23.0,2
Wheat,Loamy Soil,Vegetative Growth / Root or Tuber Development,34.67,15.02,88.26,0
Cabbage,Clay Soil,Germination,23.0,23.0,79.4,1
Wheat,Laterite Soil,Harvest,25.12,22.09,79.16,0
Rice,Silty Soil,Vegetative Growth / Root or Tuber Development,84.83,44.08,20.92,1
Chilli,Loamy Soil,Seedling Stage,5.0,39.89,52.8,1
Carrot,Black Soil,Seedling Stage,10.1,24.17,83.27,0
Cotton,Black Soil,Vegetative Growth / Root or Tuber Development,95.61,35.01,49.45,0
Wheat,Alluvial Soil,Flowering,64.0,44.0,23.0,2
Onion,Loamy Soil,Pollination,78.84,36.84,59.76,1
Wheat,Alluvial Soil,Vegetative Growth / Root or Tuber Development,40.0,30.0,65.0,1
Potato,Sandy Soil,Germination,77.0,17.0,87.0,0
Maize,Black Soil,Vegetative Growth / Root or Tuber Development,23.0,16.0,80.8,1
Cotton,Chalky Soil,Germination,36.0,16.0,86.2,1
Potato,Clay Soil,Germination,1.0,18.0,86.0,0
Rice,Sandy Soil,Germination,23.0,36.0,57.2,2
Carrot,Loam Soil,Seedling Stage,12.0,13.0,91.0,0
Groundnut,Clay Soil,Flowering,25.0,16.0,82.2,1
Wheat,Peaty Soil,Pollination,25.94,24.53,76.44,1
Carrot,Loamy Soil,Vegetative Growth / Root or Tuber Development,50.45,20.11,88.57,0
Potato,Loam Soil,Pollination,56.0,34.0,53.0,2
Chilli,Sandy Soil,Germination,28.0,30.0,67.5,1
Brinjal,Silty Soil,Vegetative Growth / Root or Tuber Development,31.64,34.67,51.31,2
Onion,Black Soil,Flowering,55.09,23.34,83.39,0
Cabbage,Clay Soil,Seedling Stage,24.0,18.0,81.3,1
Brinjal,Peaty Soil,Seedling Stage,62.13,17.17,89.87,1
Potato,Clay Soil,Flowering,35.0,20.0,84.0,0
Onion,Loam Soil,Germination,54.0,23.0,76.8,0
Rice,Loam Soil,Germination,75.0,31.0,59.5,0
Cabbage,Sandy Soil,Vegetative Growth / Root or Tuber Development,40.0,15.0,92.0,0
Wheat,Silty Soil,Vegetative Growth / Root or Tuber Development,33.81,30.58,65.89,1
Chilli,Loamy Soil,Flowering,10.31,28.54,67.09,2
Cotton,Peaty Soil,Germination,66.26,41.87,17.61,2
Wheat,Sandy Soil,Fruit/Grain/Bulb Formation,64.0,14.0,90.0,0
Chilli,Chalky Soil,Seedling Stage,59.0,20.0,84.0,0
Potato,Loam Soil,Seedling Stage,54.0,24.0,80.0,0
Carrot,Clay Soil,Germination,53.0,35.0,48.0,1
Brinjal,Silty Soil,Germination,94.92,30.57,51.21,0
Potato,Silty Soil,Seedling Stage,11.57,21.57,80.51,0
Tomato,Loam Soil,Vegetative Growth / Root or Tuber Development,8.0,30.0,63.0,1
Tomato,Red Soil,Vegetative Growth / Root or Tuber Development,5.0,15.0,89.0,0
Chilli,Black Soil,Germination,48.0,42.0,29.0,1
Wheat,Peaty Soil,Seedling Stage,33.9,18.1,83.74,0
Wheat,Peaty Soil,Vegetative Growth / Root or Tuber Development,23.05,25.5,79.86,1
Wheat,Clay Soil,Fruit/Grain/Bulb Formation,19.0,24.0,80.0,0
Rice,Loamy Soil,Seedling Stage,16.1,17.12,98.78,1
Tomato,Black Soil,Flowering,12.13,14.74,93.79,0
Chilli,Red Soil,Germination,48.0,28.0,71.9,1
Brinjal,Red Soil,Seedling Stage,58.0,27.0,77.3,0
Potato,Laterite Soil,Vegetative Growth / Root or Tuber Development,5.0,14.4,94.87,0
Cotton,Chalky Soil,Vegetative Growth / Root or Tuber Development,50.0,25.0,81.8,0
Groundnut,Black Soil,Vegetative Growth / Root or Tuber Development,23.76,26.78,74.76,0
Wheat,Red Soil,Vegetative Growth / Root or Tuber Development,9.0,37.0,44.0,1
Rice,Clay Soil,Flowering,87.0,39.0,43.1,0
Potato,Peaty Soil,Germination,30.39,18.22,90.24,0
Brinjal,Red Soil,Germination,10.0,33.0,49.4,2
Carrot,Clay Soil,Germination,64.0,23.0,81.0,0
Rice,Loam Soil,Flowering,76.0,15.0,95.0,0
Onion,Clay Soil,Seedling Stage,87.0,45.0,20.0,1
Cabbage,Loam Soil,Seedling Stage,10.0,18.0,84.3,1
Chilli,Silty Soil,Vegetative Growth / Root or Tuber Development,14.82,40.23,37.76,1
Tomato,Loam Soil,Germination,67.0,18.0,86.0,0
Carrot,Silty Soil,Vegetative Growth / Root or Tuber Development,45.49,20.09,94.79,0
Maize,Alluvial Soil,Pollination,42.0,23.0,84.1,1
Onion,Loam Soil,Seedling Stage,68.0,16.0,95.0,0
Onion,Red Soil,Germination,61.0,15.0,89.7,0
Brinjal,Laterite Soil,Vegetative Growth / Root or Tuber Development,80.7,42.97,42.52,1
Onion,Red Soil,Pollination,24.0,44.0,32.5,2
Groundnut,Sandy Soil,Vegetative Growth / Root or Tuber Development,2.0,45.0,20.0,2
Potato,Silty Soil,Pollination,44.98,15.57,83.76,0
Maize,Laterite Soil,Pollination,63.41,18.08,81.95,0
Chilli,Peaty Soil,Vegetative Growth / Root or Tuber Development,55.97,43.43,19.44,1
Rice,Loam Soil,Germination,45.0,23.0,91.5,0
Potato,Loam Soil,Vegetative Growth / Root or Tuber Development,73.0,27.0,74.0,2
Chilli,Black Soil,Germination,51.0,16.0,88.0,0
Brinjal,Clay Soil,Flowering,11.0,31.0,55.5,2
Potato,Clay Soil,Vegetative Growth / Root or Tuber Development,56.0,26.0,77.0,1
Potato,Sandy Soil,Seedling Stage,36.0,28.0,71.0,1
Wheat,Black Soil,Harvest,74.57,38.77,37.85,2
Wheat,Black Soil,Fruit/Grain/Bulb Formation,44.0,40.0,35.0,1
Groundnut,Sandy Soil,Flowering,92.0,27.0,75.5,0
Groundnut,Sandy Soil,Vegetative Growth / Root or Tuber Development,74.0,29.0,81.9,0
Wheat,Red Soil,Flowering,11.0,29.0,72.0,1
Chilli,Loamy Soil,Flowering,14.39,14.06,91.81,0
Carrot,Clay Soil,Vegetative Growth / Root or Tuber Development,4.0,28.0,71.0,1
Wheat,Black Soil,Pollination,30.1,27.09,77.84,1
Wheat,Laterite Soil,Germination,5.0,37.33,52.58,1
Cabbage,Loam Soil,Vegetative Growth / Root or Tuber Development,59.0,23.0,86.4,0
Onion,Black Soil,Flowering,14.73,29.52,65.02,1
Groundnut,Black Soil,Germination,51.74,30.41,63.13,1
Wheat,Alluvial Soil,Flowering,9.0,16.0,88.0,0
Potato,Loam Soil,Seedling Stage,65.0,13.0,91.0,0
Potato,Black Soil,Germination,81.74,46.07,20.91,1
Rice,Clay Soil,Vegetative Growth / Root or Tuber Development,83.0,45.0,40.9,0
Carrot,Laterite Soil,Flowering,85.1,35.95,52.53,0
Tomato,Loamy Soil,Vegetative Growth / Root or Tuber Development,17.83,19.05,93.34,0
Onion,Clay Soil,Pollination,25.0,21.0,86.2,1
Brinjal,Laterite Soil,Pollination,15.51,45.63,19.71,2
Maize,Loamy Soil,Flowering,51.23,30.96,72.28,1
Cabbage,Clay Soil,Germination,49.0,15.0,93.1,0
Cotton,Peaty Soil,Germination,60.99,31.3,64.56,0
Potato,Silty Soil,Seedling Stage,15.61,16.95,88.85,0
Chilli,Red Soil,Vegetative Growth / Root or Tuber Development,65.0,25.0,80.0,1
Cabbage,Loam Soil,Germination,54.0,24.0,76.4,0
Onion,Laterite Soil,Flowering,87.12,37.49,37.65,2
Chilli,Black Soil,Germination,15.18,30.16,67.55,1
Potato,Loam Soil,Seedling Stage,84.0,26.0,77.0,0
Maize,Sandy Soil,Pollination,50.0,37.0,47.3,2
Carrot,Sandy Soil,Flowering,7.0,29.0,66.0,1
Maize,Black Soil,Germination,12.0,37.0,46.4,2
Chilli,Black Soil,Flowering,54.0,13.0,91.0,0
Cabbage,Peaty Soil,Vegetative Growth / Root or Tuber Development,99.04,25.0,84.74,0
Tomato,Red Soil,Pollination,42.0,23.0,81.0,0
Wheat,Loamy Soil,Harvest,90.35,40.96,42.19,1
Groundnut,Sandy Soil,Flowering,6.0,21.0,86.9,2
Carrot,Loamy Soil,Seedling Stage,47.56,16.92,92.27,0
Onion,Loam Soil,Vegetative Growth / Root or Tuber Development,87.0,29.0,74.4,0
Wheat,Clay Soil,Pollination,20.0,23.0,81.0,0
Rice,Black Soil,Flowering,36.72,30.25,65.33,1
Onion,Silty Soil,Seedling Stage,41.34,14.3,81.53,1
Tomato,Clay Soil,Seedling Stage,6.0,18.0,86.0,0
Maize,Clay Soil,Germination,9.0,26.0,79.6,1
Rice,Clay Soil,Seedling Stage,92.0,38.0,43.8,0
Cotton,Laterite Soil,Germination,5.14,39.35,40.09,2
Maize,Alluvial Soil,Maturation,41.0,16.0,84.1,0
Wheat,Sandy Soil,Flowering,7.0,18.0,86.0,0
Onion,Red Soil,Germination,42.0,38.0,42.6,2
Potato,Loam Soil,Pollination,11.0,20.0,84.0,0
Tomato,Clay Soil,Flowering,31.0,35.0,50.0,1
Wheat,Alluvial Soil,Germination,91.0,35.0,50.0,0
Rice,Silty Soil,Vegetative Growth / Root or Tuber Development,19.54,34.25,70.41,1
Wheat,Alluvial Soil,Fruit/Grain/Bulb Formation,91.0,29.0,68.0,0
Carrot,Clay Soil,Flowering,14.0,13.0,91.0,0
Groundnut,Laterite Soil,Flowering,24.57,38.25,38.22,2
Groundnut,Sandy Soil,Pollination,50.0,31.0,62.9,1
Carrot,Sandy Soil,Flowering,44.0,17.0,87.0,0
Onion,Black Soil,Flowering,54.4,22.4,82.29,1
Carrot,Black Soil,Seedling Stage,29.49,20.99,84.34,0
Tomato,Black Soil,Flowering,64.09,21.27,86.7,0
Onion,Clay Soil,Vegetative Growth / Root or Tuber Development,56.0,32.0,53.8,0
